Gene_acc,Gene_id,C1,C2,C3,T1,T2,T3,Desc
1,Tb427_110137800,6.641683914717038,6.4753289063317485,6.7785229941760665,10.735146595473012,10.611538802568438,10.69193127303583,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)  putative
2,Tb427_070075700:pseudogene,0.06776567457097649,0.38378073091733533,0.06776567457097649,2.8174322770044293,2.901151179036286,2.87421699368959,hypothetical protein  conserved
3,Tb427_000006000:pseudogene,3.899177206997813,3.8453606004288017,4.321914151487203,6.757769981491461,6.802533641509184,6.596070150944721,Trypanosome variant surface glycoprotein (A-type)  putative
4,Tb427_000747100:pseudogene,0.4467924685545013,0.4467924685545013,0.5030769402531288,2.9797917811075125,3.071402941246291,3.1610653962941573,hypothetical protein  conserved
5,Tb427_000662900:pseudogene,1.09828540228912,1.7887853730423622,1.327272544689471,3.8169997066912877,3.997267650088006,4.0331256571586,Retrotransposon hot spot protein  putative
6,Tb427_000666900:pseudogene,1.6190801090261298,1.671829403073465,1.4923750126477753,3.9675718511458116,4.19411366990375,4.09729735799209,Reverse transcriptase (RNA-dependent DNA polymerase)  putative
7,Tb427_000007600,0.24532602959389305,-0.37237736951435085,-0.37237736951435085,2.602732595239907,2.0022750508696783,2.180496698775843,hypothetical protein  conserved
8,Tb427_000006100,2.8174322770044293,3.127829889841904,3.3271572138816894,5.50893622025102,5.693490230814944,5.297121584576097,Trypanosome variant surface glycoprotein (A-type)  putative
9,Tb427_070024600,2.770285166681356,2.7894292312243887,2.8594106095894505,5.141894939664547,4.967066814474711,5.33118510854906,Retrotransposon hot spot protein  putative
10,Tb427_000838500,3.1523619490814876,3.0169688108362935,3.00122764869175,5.429469301125995,5.205154696543507,5.473236616257186,Retrotransposon hot spot protein  putative
11,Tb427_000838400,2.971339136022127,3.0477190782150743,3.021214700614936,5.396727040400268,5.170962588753753,5.371719426903867,Retrotransposon hot spot protein  putative
12,Tb427_000015100,8.618435324983501,8.647091784960004,8.915944356439606,10.880105129780834,11.265172648881453,10.949058220250464,Zinc finger  C3HC4 type (RING finger)/Leucine Rich Repeat  putative
13,Tb427_000008800:pseudogene,8.829731585631977,8.83800768679169,8.895363513398785,11.108290695612892,11.09080307460831,11.182599556042241,hypothetical protein  conserved
14,Tb427_000821000,2.9055767773956216,3.2297023093733017,3.102846998276844,5.4421734309698975,5.23084977615849,5.3241789993116075,Retrotransposon hot spot protein  putative
15,Tb427_100108900,4.011498772697475,3.9207945322131668,4.238702215302357,6.258041309183148,6.579826328694971,6.040423427237148,Trypanosome variant surface glycoprotein (A-type)  putative
16,Tb427_000838300,2.20387267048163,2.6945611247247165,2.20387267048163,4.732817113975438,4.64956904305995,4.381245545743266,Retrotransposon hot spot protein  putative
17,Tb427_000011400:pseudogene,5.272890727104315,5.616565301463131,5.235080047090003,7.6277546803843315,7.661521157878427,7.513403136832199,hypothetical protein  conserved
18,Tb427_000006600:pseudogene,8.26134161182226,8.269762551612235,8.441786925634453,10.573965562352235,10.59255149584638,10.453677092375345,hypothetical protein  conserved
19,Tb427_070024400,1.4311733861082843,1.9468480235991237,1.9073840132540631,3.9256538017959244,3.8219807933901633,3.969814700364287,Retrotransposon hot spot protein  putative
