Gene_acc,Gene_id,logFC,-log10FDR,logCPM,Desc
1,Tb427_110137800,4.0441096332818125,8.538146249039414,8.232181270941698,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)  putative
2,Tb427_070075700:pseudogene,2.7054571492582777,6.767793707862996,1.7573611284114805,hypothetical protein  conserved
3,Tb427_000006000:pseudogene,2.695121454262956,6.5173468096431,3.975049909304771,Trypanosome variant surface glycoprotein (A-type)  putative
4,Tb427_000747100:pseudogene,2.615998163116345,7.008600087080591,1.927308499145182,hypothetical protein  conserved
5,Tb427_000662900:pseudogene,2.577157228136027,5.408988038529566,0.7628756708350559,Retrotransposon hot spot protein  putative
6,Tb427_000666900:pseudogene,2.4972027236895227,6.9674241416491665,3.012603733466355,Reverse transcriptase (RNA-dependent DNA polymerase)  putative
7,Tb427_000007600,2.442031892107416,4.507435013921483,0.7919930285472169,hypothetical protein  conserved
8,Tb427_000006100,2.4219793755747476,5.680263754793668,2.9715274565065553,Trypanosome variant surface glycoprotein (A-type)  putative
9,Tb427_070024600,2.3641742531111074,6.074206931847766,2.0222529019239355,Retrotransposon hot spot protein  putative
10,Tb427_000838500,2.324385416749359,6.322726595155761,2.2825065353060654,Retrotransposon hot spot protein  putative
11,Tb427_000838400,2.318701527027786,6.542115173268975,2.2573943684460818,Retrotransposon hot spot protein  putative
12,Tb427_000015100,2.308510754116603,6.194110236905043,8.530296284500356,Zinc finger  C3HC4 type (RING finger)/Leucine Rich Repeat  putative
13,Tb427_000008800:pseudogene,2.274150473772323,8.860802754672235,6.509132511891096,hypothetical protein  conserved
14,Tb427_000821000,2.2691921368723245,6.256290763977201,2.3080697760680384,Retrotransposon hot spot protein  putative
15,Tb427_100108900,2.2472211961438964,5.562520640711117,5.098706608165507,Trypanosome variant surface glycoprotein (A-type)  putative
16,Tb427_000838300,2.233851846431218,5.176129996227287,1.5266387343986787,Retrotransposon hot spot protein  putative
17,Tb427_000011400:pseudogene,2.2229628867033733,6.28435910778931,3.1593012439665347,hypothetical protein  conserved
18,Tb427_000006600:pseudogene,2.2178895634359463,7.762993592378073,6.543527146109675,hypothetical protein  conserved
19,Tb427_070024400,2.178409801104936,5.2967860132181634,0.8036365337792714,Retrotransposon hot spot protein  putative
20,Tb427_000005800:pseudogene,2.175620183438826,7.545270551247319,5.7492455261391076,hypothetical protein  conserved
21,Tb427_100077600:pseudogene,2.1684755417754364,4.802808254138239,2.70759217332461,Trypanosome variant surface glycoprotein (A-type)  putative
22,Tb427_000022900,2.1613712363350746,7.674049230211115,9.000459147168444,hypothetical protein  conserved
23,Tb427_000024800,2.147747452844218,8.403113618410245,8.999544213603704,hypothetical protein  conserved
24,Tb427_000337700:pseudogene,2.1429158932748704,4.366784146296931,2.1231489948217184,hypothetical protein
25,Tb427_000015500,2.135050670446523,5.992095294507376,8.236676897430675,Zinc finger  C3HC4 type (RING finger) containing protein  putative
26,Tb427_000023300:pseudogene,2.105373999454732,6.46363930751233,4.443074311996474,hypothetical protein  conserved
27,Tb427_000821100,2.090112870959601,5.863752144999914,2.021081572060497,Retrotransposon hot spot protein  putative
28,Tb427_000010300:pseudogene,2.066091436157846,6.880785977818018,5.197719071121161,hypothetical protein  conserved
29,Tb427_100109100,2.0659164574431808,6.261348916373889,4.586013871251336,Trypanosome variant surface glycoprotein (A-type)  putative
30,Tb427_070024700,2.062594415770402,6.533268008974367,2.3251353433531343,Retrotransposon hot spot protein  putative
31,Tb427_000007500:pseudogene,2.061402000201643,5.330692014715664,4.237520253340639,Trypanosome variant surface glycoprotein (A-type)  putative
32,Tb427_000021400,2.0584646045334583,4.750560780818182,2.84644702256722,hypothetical protein  conserved
33,Tb427_000670300:pseudogene,2.0576378321468125,5.33515042628777,0.9569091388279538,Retrotransposon hot spot protein  putative
34,Tb427_030014700,2.0551840545726625,8.218440393884357,7.7121208853747305,Trypanosomal VSG domain containing protein  putative
35,Tb427_000025200,2.0451931590817876,5.9796436630515135,2.887097268595424,hypothetical protein  conserved
36,Tb427_000021000,2.0396695223487784,8.44052477989501,8.980271379507947,hypothetical protein  conserved
37,Tb427_000009900,2.011327314155154,6.902356131507288,4.9012033398878865,hypothetical protein  conserved
38,Tb427_000116000:pseudogene,2.005542689016497,5.0412409423800035,1.9401005690265185,hypothetical protein
39,Tb427_000011800,2.0031351543762335,6.9674241416491665,4.6563680306086885,hypothetical protein  conserved
40,Tb427_000017200,2.002375988241681,6.936854332212204,6.03634845105281,hypothetical protein  conserved
41,Tb427_000019600:pseudogene,1.9961167540881797,6.724969280672152,2.9666139329249908,Adenylate and Guanylate cyclase catalytic domain containing protein  putative
42,Tb427_000011200,1.977082802011975,4.765304665971519,6.504311068998153,Trypanosome variant surface glycoprotein (A-type)  putative
43,Tb427_000015700,1.966988843784269,6.194110236905043,8.689825294817895,Trypanosomal VSG domain containing protein  putative
44,Tb427_100108800,1.9520313966950151,6.092045286031022,4.068132500678962,Trypanosome variant surface glycoprotein (A-type)  putative
45,Tb427_000019800:pseudogene,1.9481857991495537,5.85139929167874,4.125547657769489,hypothetical protein  conserved
46,Tb427_000009200,1.939017157933966,6.0462892350996595,5.420965068739028,hypothetical protein  conserved
47,Tb427_000821500:pseudogene,1.9374284150732317,4.8515478135773344,0.5959328239760653,Retrotransposon hot spot protein  putative
48,Tb427_100166400,1.9360077339930464,5.127385622545857,1.1013294148071922,unspecified product
49,Tb427_000010200,1.9322361593473634,5.6668944622874475,4.391295429669765,Zinc finger  C3HC4 type (RING finger)/Leucine Rich Repeat  putative
50,Tb427_000010100,1.9320540491184746,5.18365784727878,4.38600187454084,Zinc finger  C3HC4 type (RING finger)/Leucine Rich Repeat  putative
