Gene_acc,Gene_id,C1,C2,C3,T1,T2,T3,Desc
1,Tb927.11.12100,7.093201899643472,7.047166258113452,7.342341762993605,10.649790507366959,10.473301732491729,10.678004401987103,RNA-binding protein  putative
2,Tb927.1.20,2.402248468235242,3.193785246949262,2.551224821634802,5.234825181327551,5.632550576473027,4.784914435985986,expression site-associated gene 3 (ESAG3)  pseudogene
3,Tb927.10.7160,-0.1099861532930575,0.2662263344932443,0.1947167815407571,2.5265769195154832,2.7974842610862862,2.394299477507369,procyclin-associated gene 1 (PAG1) protein  putative
4,Tb427.BES40.19-pseudo,8.619935281575286,8.646219993869341,8.811655983985045,11.13153519699896,11.254375721497127,11.13153519699896,Tb427.BES40.19-pseudo
5,Tb927.10.10220,3.84318606625126,3.7374223685326147,4.081731028478643,6.066219344850385,6.374436017216208,5.835261997339291,procyclin-associated gene 2 (PAG2) protein
6,Tb927.7.2010,2.9779284395110035,2.9098805908894265,2.8719285979188642,5.209829527917568,4.896571312345115,5.125052890851162,retrotransposon hot spot protein 7 (RHS7)  putative
7,Tb927.3.1500,5.825167889117308,5.807622067546993,5.752965424261024,7.935476580797021,7.999588166001949,7.9269182421588615,variant surface glycoprotein (VSG)-related  putative
8,Tb427VSG-1554,5.580547125263555,5.540481603696288,5.583197425452307,7.743434412883046,7.710742490833205,7.686940771121741,Tb427VSG-1554
9,Tb927.7.2000,3.03724910132815,3.1701463886165557,3.0745039734707826,5.31240062611512,5.049964458321481,5.191670651326496,retrotransposon hot spot protein 7 (RHS7)  putative
10,Tb927.7.1990,2.145910010144806,2.1016074301120375,2.0360152780308454,4.214491423715192,3.969540926782441,4.220245545757216,retrotransposon hot spot protein 7 (RHS7)  point mutation
11,Tb927.3.1510,5.052466253942855,5.016885429551861,4.989193172346958,7.05730408258494,7.1464255191417845,6.982873088284457,variant surface glycoprotein (VSG)-related  putative
12,Tb927.7.1960,2.575920487792849,2.5792326324709327,2.3689339418043582,4.701963077048931,4.176404862439326,4.655747391040474,retrotransposon hot spot protein 7 (RHS7)  putative
13,Tb427.BES40.9,7.714161481640465,7.707388188929961,7.937776852053177,9.682958280389636,9.948373064579103,9.758383463217177,Tb427.BES40.9
14,Tb427.BES40.14,8.72201328941563,8.720157749909722,8.910689342345455,10.687608004014617,10.930594051110877,10.747494378931368,Tb427.BES40.14
15,Tb427.BES129.10,7.185909556566602,7.179479871451539,7.386401751260099,9.284895280954695,9.237374764945727,9.237374764945727,Tb427.BES129.10
16,Tb427.BES40.13,8.829395026594161,8.807740104009557,8.784439880433055,10.811719827578308,10.779021164149514,10.800684064145601,Tb427.BES40.13
17,MSTRG.235,1.3726504162620943,1.3446478493590455,1.1542639991301593,3.353805527940548,3.067569559004483,3.317368797165709,MSTRG.235
18,Tb11.v5.0353,3.1680278257131036,2.982889640560882,3.0148072814531597,5.183156568417434,4.672228302637321,5.194104576633627,retrotransposon hot spot (RHS) protein  putative
19,TRY.21,7.757865776681291,7.692875850837839,7.857080755095874,9.739074957135788,9.754496460108813,9.742911552259033,TRY.21
20,Tb927.7.2020,2.7602923199217635,2.831078713009847,2.5909377441385852,4.780885660136375,4.574410785102499,4.7320912067211784,retrotransposon hot spot protein 7 (RHS7)  putative
21,Tb427VSG-6591,4.033477443195483,3.6508131676234234,3.963673545691211,6.151073415723798,5.571036861730795,5.7556910497955585,Tb427VSG-6591
22,Tb427VSG-7370,4.836252939164936,4.789564461385863,4.856521571750811,6.868340601249437,6.737815545905152,6.699697391164877,Tb427VSG-7370
23,Tb427VSG-6386,7.056520062649652,6.824772579431819,7.06804357495252,8.972353390390978,8.792169829572256,9.016356343257485,Tb427VSG-6386
24,Tb427.BES129.9,6.916456978286302,6.982488835861287,7.167707786430383,8.867495547677224,9.089526623816765,8.90860562193433,Tb427.BES129.9
25,Tb427.BES40.7,9.211653119664454,9.129910774950151,9.14686812117673,11.099641849769338,11.068953474289007,11.115431430975907,Tb427.BES40.7
26,Tb427VSG-7289,6.987411485468639,6.91146929658548,7.153985405441933,8.970185916653055,8.910689342345455,8.950813756480338,Tb427VSG-7289
